chaotic_deepso,DESS,EPSO,evdeepso,Firefly,Guide_DE,UPSO,GMVNPSO,VNSDEEPSO,PSO_GBP,CUMDANCauchy,HL_PS_VNSO,ABC_DE,AJSO,CE_CMAES,GASAPSO,HFEABC
96.64809653,183.2804694,90.27574487,78.75444884,107.931486,127.6662568,99.57540838,32.61320702,22.50242949,80.54550783,59.21029873,36.2444017,80.05357562,425.0988904,228.6527131,82.26876831,212.1093609
81.54693467,204.9827571,88.85296803,77.59431563,98.67809066,119.9839215,89.46604387,35.15857899,22.46755351,80.89083067,51.00391745,34.69205868,88.85318443,366.0643758,378.714349,111.3777294,345.5502502
92.55763633,194.1095838,62.93613569,77.89109103,105.0896263,121.3716043,89.132533,35.18261825,26.93981345,81.09205371,61.47977511,37.37489193,86.31008142,450.3625468,219.3033622,82.68955479,145.2774133
88.96649905,177.6628549,99.45079352,78.33270552,102.787031,96.96626266,110.7431892,34.98010741,22.9691361,80.89046272,53.55628173,34.41526212,87.750426,463.5071886,197.8039698,89.55660289,121.4963473
87.64197414,201.403438,79.75519208,79.0285885,112.4392974,139.7502341,97.83975419,36.21160909,22.43584131,80.98853218,45.86243726,35.17525354,87.42316531,455.8961515,167.1397217,81.11744105,176.3447595
90.72486712,206.1296306,69.39484052,67.8382081,109.5669653,124.5068855,120.4357866,36.86007507,22.52019872,80.95330905,74.35963058,34.0718771,86.539584,441.9868393,174.0890409,83.34522417,78.87255061
88.45221795,200.5393074,81.79696195,78.55175799,102.7840033,92.77443717,111.2210465,34.75496586,22.41371138,81.83599355,44.4566728,38.36885835,87.22359299,376.6436644,207.3127639,81.40664871,168.9038678
92.13072724,216.3280696,106.1388887,78.67752561,108.5151494,137.9370006,107.5584725,36.09944706,22.48194827,80.86332392,42.9082254,34.77328142,88.13369433,425.1831629,202.9503081,81.37749377,143.8411568
87.26453791,235.4796948,58.39757823,77.60644711,108.2721233,146.314584,111.07554,37.5207309,27.8019473,80.88741704,61.91375872,33.49008111,78.14701802,427.1785828,206.1019063,88.45350342,82.44236444
87.03454755,220.6709029,77.00208536,77.67092808,105.3772201,138.8146493,124.4312114,35.15006601,22.55902607,80.87136864,53.62305942,44.03320629,84.83105898,345.0208707,226.0706379,84.87229537,505.0476531
92.7415437,205.8468044,83.83826658,77.64166076,107.2794962,103.9968793,108.7599485,34.42743055,22.67841417,80.85226552,62.08708196,40.41337217,86.7428876,520.9148962,182.1812601,81.3436351,149.478766
90.62350298,207.4968387,86.9563682,71.30886812,106.8141981,138.8478835,97.08388019,33.19897015,22.76950126,80.68577055,42.54499463,36.98210897,86.05667131,440.1189162,202.4404204,123.7530079,179.8769631
94.58501091,184.6031048,75.34083736,83.34105902,109.7498487,89.35675025,107.8510626,33.9249371,22.4896881,81.10687445,46.57077642,37.92299619,84.5664767,426.4539719,205.6202572,81.49979955,172.8862289
86.13168955,188.3427057,91.27114517,77.32308461,106.0495157,151.2275835,124.6066177,35.29648163,30.74015669,81.19337441,56.3481471,33.44567251,89.82546534,470.7596288,200.4130134,85.21229658,177.4441455
86.48980272,201.763946,98.63951409,77.75845167,94.81481695,128.5731458,111.8741394,34.32912003,22.49024211,80.8759942,81.0693038,37.68722398,82.68498332,460.1088391,163.8440793,81.18062334,422.1147512
77.04594208,186.9490898,92.18728217,68.7031629,98.33994477,129.1819686,99.67599791,35.33461284,22.98002075,80.86248202,45.37569664,36.74623862,87.14152144,454.737269,154.915663,90.98634753,165.0720107
88.05175091,224.8738425,82.75962223,74.35966228,105.3668499,109.2651138,82.78136531,34.65044427,22.49111427,80.81518894,54.1406506,40.43504241,87.20505159,448.0797182,234.0184728,82.78657294,238.4984038
86.91908764,197.702432,81.28334811,67.882125,96.97437634,139.000665,114.5125847,36.68645739,22.4294472,80.89533166,56.37375646,33.61054861,90.40026735,456.1139045,169.8886154,102.8946337,122.4682488
87.75287547,193.6987735,94.70586227,78.80274842,93.61935057,125.1604254,129.2894218,33.87666467,22.80853554,80.87402153,56.20817381,38.51351501,86.26688376,392.6208632,208.2948566,91.86348463,143.5545186
93.71702369,179.4924997,123.0539387,78.03952123,99.57915513,97.60975136,110.1323924,34.97229854,22.97503208,80.36034144,43.83842749,33.16709255,77.65767651,444.1078812,167.1703465,81.44871673,131.3012268
